 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,Slice
1,0.660,1.443,0.209,1.183,1.181,1.908,24.039,0.624,24.041,0.623,3.038,1
2,0.440,1.299,0.099,1.239,1.171,1.507,48.725,0.518,48.723,0.520,2.438,1
3,0.430,1.231,0.048,1.169,1.169,1.326,21.013,0.717,21.015,0.719,2.356,1
4,0.360,1.325,0.123,1.179,1.173,1.581,7.158,0.847,7.158,0.845,2.097,1
5,0.900,1.602,0.342,1.198,1.173,2.367,47.376,1.000,47.383,0.998,3.380,1
6,0.670,1.299,0.091,1.263,1.169,1.467,1.026,1.208,1.025,1.204,3.287,1
7,0.840,1.474,0.242,1.344,1.175,2.000,8.314,1.114,8.311,1.112,3.321,1
8,0.480,1.226,0.033,1.203,1.170,1.280,13.817,1.185,13.817,1.185,2.638,1
9,0.480,1.254,0.053,1.213,1.173,1.356,18.833,1.113,18.833,1.113,2.414,1
10,0.730,1.294,0.084,1.265,1.169,1.487,29.343,1.479,29.344,1.482,3.121,1
11,0.830,1.428,0.202,1.173,1.169,1.874,34.480,1.621,34.479,1.623,3.404,1
12,0.380,1.377,0.150,1.199,1.178,1.698,3.842,1.424,3.843,1.424,2.214,1
13,0.150,1.214,0.034,1.171,1.171,1.269,9.757,1.290,9.757,1.290,1.331,1
14,1.000,1.321,0.104,1.231,1.170,1.529,11.689,1.682,11.690,1.679,3.804,1
15,0.730,1.264,0.061,1.190,1.169,1.395,32.627,1.799,32.626,1.794,3.321,1
16,0.970,1.343,0.145,1.171,1.170,1.748,39.399,1.619,39.390,1.618,4.511,1
17,0.780,1.393,0.220,1.179,1.171,1.982,5.785,1.709,5.757,1.707,4.087,1
18,0.750,1.542,0.301,1.228,1.193,2.246,44.886,1.762,44.880,1.769,3.038,1
19,0.640,1.304,0.097,1.267,1.170,1.521,23.966,2.092,23.964,2.098,3.346,1
20,0.740,1.472,0.232,1.246,1.171,1.963,22.273,1.970,22.276,1.974,3.038,1
21,0.930,1.390,0.162,1.532,1.170,1.765,27.413,2.030,27.408,2.031,3.521,1
22,0.450,1.238,0.047,1.235,1.170,1.324,37.830,2.263,37.830,2.262,2.438,1
23,0.660,1.225,0.040,1.170,1.169,1.314,25.926,2.391,25.924,2.391,3.604,1
